Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
168,A.J. Green,CIN,WR,17,BAL,9.0,6.0,66.7,74.0,1.0,0,8.2,12.3,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,2015
154,A.J. Green,CIN,WR,1,NYJ,8.0,5.6,75.0,77.9,0.5,0,9.8,13.0,0.0,0.0,0.0,0.0,0.1,0.1,10.6,10.59,2016
57,A.J. Green,CIN,WR,2,PIT,8.72,6.1,66.7,87.5,0.6,0,9.8,14.7,0.0,0.0,0.0,0.0,0.1,0.1,12.2,12.15,2016
55,A.J. Green,CIN,WR,3,DEN,8.43,5.9,75.0,81.8,0.7,0,10.2,13.7,0.0,0.0,0.0,0.0,0.1,0.1,12.2,12.18,2016
9,A.J. Green,CIN,WR,4,MIA,10.72,7.5,72.7,97.4,0.8,0,8.8,12.1,0.0,0.0,0.0,0.0,0.1,0.1,14.3,14.34,2016
69,A.J. Green,CIN,WR,5,DAL,9.86,6.9,70.0,90.2,0.5,0,9.0,12.9,0.0,0.1,0.0,0.0,0.1,0.1,11.8,11.83,2016
138,A.J. Green,CIN,WR,6,NE,8.58,6.0,66.7,79.1,0.5,0,8.8,13.2,0.0,0.3,0.0,0.0,0.1,0.1,10.7,10.74,2016
24,A.J. Green,CIN,WR,7,CLE,9.72,6.8,70.0,94.3,0.7,0,9.4,13.4,0.0,0.1,0.0,0.0,0.1,0.1,13.4,13.44,2016
31,A.J. Green,CIN,WR,8,WAS,9.72,6.8,70.0,97.0,0.6,0,9.7,13.9,0.0,0.1,0.0,0.0,0.1,0.1,13.1,13.11,2016
40,A.J. Green,CIN,WR,10,NYG,8.72,6.1,66.7,85.5,0.7,0,9.6,14.3,0.0,0.0,0.0,0.0,0.0,0.0,12.8,12.75,2016
12,A.J. Green,CIN,WR,11,BUF,10.29,7.2,70.0,100.9,0.7,0,10.1,14.4,0.0,0.0,0.0,0.0,0.1,0.1,14.1,14.09,2016
62,A.J. Green,CIN,WR,1,BAL,8.15,5.7,75.0,80.9,0.5,0,10.1,13.5,0.0,0.0,0.0,0.0,0.1,0.1,10.9,10.89,2017
61,A.J. Green,CIN,WR,2,HOU,8.15,5.7,75.0,81.0,0.5,0,10.1,13.5,0.0,0.0,0.0,0.0,0.1,0.1,10.9,10.9,2017
25,A.J. Green,CIN,WR,3,GB,9.0,6.3,66.7,89.2,0.5,0,9.9,14.8,0.0,0.0,0.0,0.0,0.0,0.0,11.9,11.92,2017
8,A.J. Green,CIN,WR,4,CLE,10.01,7.0,70.0,100.0,0.5,0,10.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,2017
66,A.J. Green,CIN,WR,5,BUF,8.58,6.0,66.7,84.2,0.4,0,9.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.82,2017
62,A.J. Green,CIN,WR,7,PIT,7.72,5.4,62.5,78.9,0.5,0,9.9,15.8,0.0,0.0,0.0,0.0,0.0,0.0,10.9,10.89,2017
17,A.J. Green,CIN,WR,8,IND,8.29,5.8,75.0,86.7,0.6,0,10.9,14.5,0.0,0.0,0.0,0.0,0.0,0.0,12.3,12.27,2017
287,A.J. Green,CIN,WR,9,JAX,6.43,4.5,66.7,62.4,0.4,0,10.3,15.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6,8.64,2017
91,A.J. Green,CIN,WR,10,TEN,7.15,5.0,71.4,75.0,0.5,0,10.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,2017
152,A.J. Green,CIN,WR,11,DEN,6.43,4.5,66.7,65.6,0.5,0,11.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,9.6,9.56,2017
66,A.J. Green,CIN,WR,12,CLE,7.15,5.0,71.4,72.2,0.6,0,10.3,14.4,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.82,2017
121,A.J. Green,CIN,WR,13,PIT,7.15,5.0,71.4,68.9,0.5,0,9.9,13.8,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.89,2017
51,A.J. Green,CIN,WR,14,CHI,7.72,5.4,62.5,81.8,0.5,0,10.2,16.4,0.0,0.0,0.0,0.0,0.0,0.0,11.2,11.18,2017
132,A.J. Green,CIN,WR,15,MIN,7.57,5.3,62.5,73.9,0.4,0,9.2,14.8,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.79,2017
