Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
53,Martellus Bennett,CHI,TE,17,GB,8,7,87.5,89,0,40,11.1,12.7,0,0,0,0,0,0,8.9,8.9
57,Greg Olsen,CAR,TE,3,NYG,10,8,80,87,0,39,8.7,10.9,0,0,0,0,0,0,8.7,8.7
57,Garrett Graham,HOU,TE,14,JAX,11,7,63.6,87,0,39,7.9,12.4,0,0,0,0,0,0,8.7,8.7
59,Jermichael Finley,GB,TE,1,SF,9,8,88.9,86,0,38,9.6,10.8,0,0,0,0,0,0,8.6,8.6
59,Jimmy Graham,NO,TE,14,CAR,10,7,70,86,0,39,8.6,12.3,0,0,0,0,0,0,8.6,8.6
59,Antonio Gates,LAC,TE,14,NYG,11,8,72.7,86,0,39,7.8,10.8,0,0,0,0,0,0,8.6,8.6
62,Vernon Davis,SF,TE,8,JAX,7,5,71.4,85,0,38,12.1,17,0,0,0,0,0,0,8.5,8.5
62,Vernon Davis,SF,TE,1,GB,5,4,80,85,0,38,17,21.2,0,0,0,0,0,0,8.5,8.5
62,Heath Miller,PIT,TE,14,MIA,10,9,90,85,0,38,8.5,9.4,0,0,0,0,0,0,8.5,8.5
62,Heath Miller,PIT,TE,16,GB,9,8,88.9,85,0,38,9.4,10.6,0,0,0,0,0,0,8.5,8.5
62,Garrett Graham,HOU,TE,12,JAX,9,6,66.7,85,0,38,9.4,14.2,0,0,0,0,0,0,8.5,8.5
67,Tony Gonzalez,ATL,TE,13,BUF,10,8,80,83,0,37,8.3,10.4,0,0,0,0,0,0,8.3,8.3
67,Tony Gonzalez,ATL,TE,12,NO,10,8,80,83,0,37,8.3,10.4,0,0,0,0,0,0,8.3,8.3
69,Heath Miller,PIT,TE,6,NYJ,8,6,75,82,0,36,10.2,13.7,0,0,0,0,0,0,8.2,8.2
69,Tony Gonzalez,ATL,TE,10,SEA,9,7,77.8,82,0,37,9.1,11.7,0,0,0,0,0,0,8.2,8.2
69,Heath Miller,PIT,TE,15,CIN,9,8,88.9,82,0,36,9.1,10.2,0,0,0,0,0,0,8.2,8.2
72,Jason Witten,DAL,TE,6,WAS,10,7,70,81,0,36,8.1,11.6,0,0,0,0,0,0,8.1,8.1
72,Martellus Bennett,CHI,TE,10,DET,10,8,80,81,0,36,8.1,10.1,0,0,0,0,0,0,8.1,8.1
72,Heath Miller,PIT,TE,7,BAL,8,6,75,81,0,36,10.1,13.5,0,0,0,0,0,0,8.1,8.1
72,Heath Miller,PIT,TE,13,BAL,12,10,83.3,81,0,36,6.8,8.1,0,0,0,0,0,0,8.1,8.1
76,Jermaine Gresham,CIN,TE,4,CLE,11,9,81.8,80,0,36,7.3,8.9,0,0,0,0,0,0,8,8
76,Jason Witten,DAL,TE,10,NO,7,6,85.7,80,0,36,11.4,13.3,0,0,0,0,0,0,8,8
76,Tony Gonzalez,ATL,TE,9,CAR,10,8,80,80,0,36,8,10,0,0,0,0,0,0,8,8
76,Scott Chandler,BUF,TE,15,JAX,8,6,75,80,0,36,10,13.3,0,0,0,0,0,0,8,8
76,Jordan Cameron,CLE,TE,13,JAX,10,8,80,80,0,36,8,10,0,0,0,0,0,0,8,8
76,Garrett Graham,HOU,TE,13,NE,9,6,66.7,80,0,36,8.9,13.3,0,0,0,0,0,0,8,8
76,Jordan Reed,WAS,TE,13,NYG,8,6,75,76,0,34,9.5,12.7,0,4,0,0,0,0,0,8
76,Martellus Bennett,CHI,TE,16,PHI,7,6,85.7,80,0,36,11.4,13.3,0,0,0,0,0,0,8,8
76,Coby Fleener,IND,TE,12,ARI,9,7,77.8,80,0,36,8.9,11.4,0,0,0,0,0,0,8,8
76,Antonio Gates,LAC,TE,12,KC,11,9,81.8,80,0,36,7.3,8.9,0,0,0,0,0,0,8,8
76,Jordan Cameron,CLE,TE,11,CIN,8,7,87.5,80,0,36,10,11.4,0,0,0,0,0,0,8,8
87,Martellus Bennett,CHI,TE,7,WAS,9,7,77.8,79,0,35,8.8,11.3,0,0,0,0,0,0,7.9,7.9
87,Jordan Cameron,CLE,TE,9,BAL,8,7,87.5,79,0,35,9.9,11.3,0,0,0,0,0,0,7.9,7.9
87,Heath Miller,PIT,TE,17,CLE,8,8,100,79,0,35,9.9,9.9,0,0,0,0,0,0,7.9,7.9
87,Owen Daniels,HOU,TE,1,LAC,11,8,72.7,79,0,35,7.2,9.9,0,0,0,0,0,0,7.9,7.9
91,Greg Olsen,CAR,TE,8,TB,7,6,85.7,78,0,35,11.1,13,0,0,0,0,0,0,7.8,7.8
91,Tim Wright,TB,TE,7,ATL,8,7,87.5,78,0,35,9.8,11.1,0,0,0,0,0,0,7.8,7.8
91,Greg Olsen,CAR,TE,9,ATL,7,6,85.7,78,0,35,11.1,13,0,0,0,0,0,0,7.8,7.8
91,Zach Sudfeld,NE,TE,1,BUF,12,6,50,78,0,20,6.5,13,0,0,0,0,0,0,7.8,7.8
