Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGame,FantasyPoints
271,Chicago Bears,CHI,DST,14,GB,3,3,4,0,0,0,0,1,39,5,5
271,San Francisco 49ers,SF,DST,16,TEN,9,4,9,0,0,0,0,0,20,5,5
271,Buffalo Bills,BUF,DST,16,NE,2,1,4,2,0,0,0,0,21,5,5
271,Minnesota Vikings,MIN,DST,16,LAR,1,0,5,3,0,0,0,0,30,5,5
271,Washington Commanders,WAS,DST,16,DAL,0,3,0,0,0,0,1,0,50,5,5
271,Houston Texans,HOU,DST,2,CLE,7,2,2,1,1,0,0,0,31,5,5
271,Cleveland Browns,CLE,DST,2,HOU,7,1,3,1,1,0,0,0,21,5,5
271,Las Vegas Raiders,LV,DST,2,PIT,4,2,9,1,0,0,0,0,17,5,5
271,Los Angeles Chargers,LAC,DST,2,DAL,3,2,4,1,0,0,0,0,20,5,5
271,New York Giants,NYG,DST,15,DAL,3,3,7,0,1,0,0,0,21,5,5
271,Carolina Panthers,CAR,DST,15,BUF,2,4,6,1,0,0,0,0,31,5,5
271,Atlanta Falcons,ATL,DST,5,NYJ,4,2,5,1,0,0,0,0,20,5,5
271,Washington Commanders,WAS,DST,5,NO,2,2,9,1,1,0,0,0,33,5,5
271,Pittsburgh Steelers,PIT,DST,5,DEN,4,2,5,1,0,0,0,0,19,5,5
271,New England Patriots,NE,DST,5,HOU,4,3,5,0,1,0,0,0,22,5,5
271,Houston Texans,HOU,DST,5,NE,5,1,4,1,1,0,0,0,25,5,5
271,San Francisco 49ers,SF,DST,5,ARI,4,2,3,0,1,0,0,0,17,5,5
271,Carolina Panthers,CAR,DST,11,WAS,5,3,6,0,1,0,0,0,27,5,5
271,Dallas Cowboys,DAL,DST,18,PHI,4,3,7,1,0,0,0,0,26,5,5
271,Seattle Seahawks,SEA,DST,17,DET,3,0,5,3,0,0,0,0,29,5,5
318,New York Jets,NYJ,DST,1,CAR,4,1,8,0,1,0,0,0,19,4,4
318,Indianapolis Colts,IND,DST,1,SEA,4,3,7,0,1,0,0,0,28,4,4
318,New York Giants,NYG,DST,1,DEN,6,2,6,0,1,0,0,0,27,4,4
318,Baltimore Ravens,BAL,DST,1,LV,5,3,7,1,0,0,0,0,33,4,4
318,New York Jets,NYJ,DST,3,DEN,5,2,4,0,1,0,0,0,26,4,4
318,Las Vegas Raiders,LV,DST,3,MIA,2,2,7,0,0,1,0,0,22,4,4
318,Miami Dolphins,MIA,DST,4,IND,6,2,8,0,1,0,0,0,27,4,4
318,Minnesota Vikings,MIN,DST,4,CLE,2,3,3,0,0,0,0,0,14,4,4
318,Atlanta Falcons,ATL,DST,7,MIA,3,1,3,2,0,0,0,0,28,4,4
318,Miami Dolphins,MIA,DST,7,ATL,2,1,6,1,1,0,0,0,30,4,4
318,San Francisco 49ers,SF,DST,7,IND,9,1,3,0,2,0,0,0,30,4,4
318,Tampa Bay Buccaneers,TB,DST,6,PHI,4,2,7,1,0,0,0,0,22,4,4
318,Miami Dolphins,MIA,DST,6,JAX,2,2,7,0,1,0,0,0,23,4,4
318,Tennessee Titans,TEN,DST,6,BUF,3,3,8,1,0,0,0,0,31,4,4
318,Los Angeles Chargers,LAC,DST,10,MIN,5,2,6,0,1,0,0,0,27,4,4
318,Denver Broncos,DEN,DST,10,PHI,5,2,3,1,0,0,0,0,24,4,4
318,Seattle Seahawks,SEA,DST,10,GB,2,1,5,1,0,0,0,0,17,4,4
318,Chicago Bears,CHI,DST,12,DET,3,1,3,0,1,0,0,0,14,4,4
318,Detroit Lions,DET,DST,12,CHI,2,1,4,1,0,0,0,0,16,4,4
318,Las Vegas Raiders,LV,DST,13,WAS,5,1,5,1,0,0,0,0,17,4,4
318,Denver Broncos,DEN,DST,13,KC,3,1,3,1,0,0,0,0,16,4,4
318,Seattle Seahawks,SEA,DST,16,CHI,8,4,9,0,0,0,0,0,25,4,4
318,New Orleans Saints,NO,DST,2,CAR,7,2,3,1,0,0,0,0,26,4,4
318,Seattle Seahawks,SEA,DST,2,TEN,4,3,8,0,1,0,0,0,33,4,4
318,Los Angeles Chargers,LAC,DST,15,KC,2,1,5,1,1,0,0,0,34,4,4
318,Tennessee Titans,TEN,DST,15,PIT,5,3,4,0,0,0,0,0,19,4,4
318,Denver Broncos,DEN,DST,15,CIN,3,3,7,0,0,0,0,0,15,4,4
318,New York Jets,NYJ,DST,5,ATL,2,0,9,0,2,0,0,0,27,4,4
318,Cincinnati Bengals,CIN,DST,5,GB,8,2,5,1,0,0,0,0,25,4,4
318,Baltimore Ravens,BAL,DST,5,IND,7,2,7,0,1,0,0,0,25,4,4
318,New York Jets,NYJ,DST,8,CIN,7,3,5,1,0,0,0,0,31,4,4
318,New Orleans Saints,NO,DST,11,PHI,7,3,8,0,1,0,0,0,34,4,4
318,Las Vegas Raiders,LV,DST,11,CIN,7,3,5,0,1,0,0,0,32,4,4
318,Baltimore Ravens,BAL,DST,18,PIT,6,1,2,1,0,0,0,0,16,4,4
318,New York Giants,NYG,DST,18,WAS,5,3,6,0,0,0,0,0,16,4,4
318,Las Vegas Raiders,LV,DST,17,IND,3,1,7,0,1,0,0,0,20,4,4
318,Cleveland Browns,CLE,DST,17,PIT,4,2,4,1,0,0,0,0,26,4,4
355,Houston Texans,HOU,DST,3,CAR,3,3,5,0,0,0,0,0,24,3,3
355,Baltimore Ravens,BAL,DST,3,DET,6,2,6,0,0,0,0,0,17,3,3
355,Tennessee Titans,TEN,DST,3,IND,3,2,10,0,0,0,0,0,16,3,3
355,New England Patriots,NE,DST,3,NO,4,3,7,0,0,0,0,0,22,3,3
355,Los Angeles Rams,LAR,DST,3,TB,6,3,5,0,0,0,0,0,24,3,3
355,Minnesota Vikings,MIN,DST,3,SEA,3,2,6,0,0,0,0,0,17,3,3
355,Detroit Lions,DET,DST,4,CHI,5,1,4,1,0,0,0,0,24,3,3
355,Tennessee Titans,TEN,DST,4,NYJ,7,1,1,1,0,0,0,0,27,3,3
355,Denver Broncos,DEN,DST,4,BAL,5,3,8,0,0,0,0,0,23,3,3
355,Kansas City Chiefs,KC,DST,7,TEN,5,1,4,1,0,0,0,0,27,3,3
355,Jacksonville Jaguars,JAX,DST,6,MIA,2,0,3,1,0,0,0,0,20,3,3
355,Detroit Lions,DET,DST,6,CIN,3,2,5,1,0,0,0,0,34,3,3
355,Chicago Bears,CHI,DST,6,GB,4,3,4,0,0,0,0,0,24,3,3
355,New England Patriots,NE,DST,6,DAL,2,0,4,1,1,0,0,0,29,3,3
355,Seattle Seahawks,SEA,DST,6,PIT,2,1,1,0,1,0,0,0,23,3,3
355,Atlanta Falcons,ATL,DST,9,NO,2,1,5,0,1,0,0,0,25,3,3
355,Dallas Cowboys,DAL,DST,9,DEN,10,4,6,0,0,0,0,0,30,3,3
355,Arizona Cardinals,ARI,DST,10,CAR,5,0,3,1,1,0,0,0,34,3,3
355,Carolina Panthers,CAR,DST,12,MIA,4,2,2,0,1,0,0,0,33,3,3
355,Los Angeles Chargers,LAC,DST,12,DEN,2,1,3,1,0,0,0,0,22,3,3
355,New Orleans Saints,NO,DST,13,DAL,2,1,7,1,0,0,0,0,21,3,3
355,New York Giants,NYG,DST,13,MIA,3,2,3,0,0,0,0,0,20,3,3
355,Washington Commanders,WAS,DST,13,LV,3,2,4,0,0,0,0,0,15,3,3
355,Buffalo Bills,BUF,DST,13,NE,9,0,0,0,1,0,0,0,14,3,3
355,Baltimore Ravens,BAL,DST,14,CLE,2,0,1,1,0,0,0,0,18,3,3
355,Indianapolis Colts,IND,DST,16,ARI,0,0,0,0,0,1,0,0,16,3,3
355,Arizona Cardinals,ARI,DST,16,IND,10,2,7,0,0,0,0,0,20,3,3
355,Cincinnati Bengals,CIN,DST,16,BAL,4,1,5,1,0,0,0,0,21,3,3
355,Atlanta Falcons,ATL,DST,16,DET,3,0,2,1,0,0,0,0,16,3,3
355,Washington Commanders,WAS,DST,2,NYG,8,4,7,0,0,0,0,0,29,3,3
355,Miami Dolphins,MIA,DST,2,BUF,0,1,8,1,2,0,0,0,35,3,3
355,New York Jets,NYJ,DST,2,NE,10,3,2,0,0,0,0,0,25,3,3
355,Baltimore Ravens,BAL,DST,2,KC,3,0,3,1,1,0,0,0,29,3,3
355,Kansas City Chiefs,KC,DST,15,LAC,0,0,3,1,1,0,0,0,28,3,3
355,New England Patriots,NE,DST,15,IND,3,1,1,1,0,0,0,0,27,3,3
355,Arizona Cardinals,ARI,DST,15,DET,5,2,5,0,1,0,0,0,30,3,3
355,Philadelphia Eagles,PHI,DST,15,WAS,5,2,7,0,0,0,0,0,17,3,3
355,Seattle Seahawks,SEA,DST,5,LAR,6,1,3,1,0,0,0,0,26,3,3
355,Denver Broncos,DEN,DST,5,PIT,3,1,2,0,1,0,0,0,27,3,3
355,Las Vegas Raiders,LV,DST,5,CHI,1,2,6,0,0,0,0,0,20,3,3
355,Indianapolis Colts,IND,DST,5,BAL,3,2,5,0,1,0,0,0,31,3,3
355,Cleveland Browns,CLE,DST,8,PIT,5,2,5,0,0,0,0,0,15,3,3
355,Atlanta Falcons,ATL,DST,8,CAR,3,0,3,0,1,0,0,0,19,3,3
355,Los Angeles Chargers,LAC,DST,8,NE,4,1,4,0,1,0,0,0,21,3,3
355,Washington Commanders,WAS,DST,11,CAR,1,1,5,0,1,0,0,0,21,3,3
355,Indianapolis Colts,IND,DST,18,JAX,3,1,2,0,1,0,0,0,26,3,3
355,Chicago Bears,CHI,DST,18,MIN,6,3,8,0,0,0,0,0,25,3,3
355,Tampa Bay Buccaneers,TB,DST,17,NYJ,4,1,4,0,1,0,0,0,24,3,3
355,Kansas City Chiefs,KC,DST,17,CIN,4,4,10,0,0,0,0,0,34,3,3
355,Houston Texans,HOU,DST,17,SF,5,1,2,1,0,0,0,0,23,3,3
355,Carolina Panthers,CAR,DST,17,NO,9,2,6,0,0,0,0,0,18,3,3
355,Arizona Cardinals,ARI,DST,17,DAL,4,1,6,0,1,0,0,0,22,3,3
407,Tampa Bay Buccaneers,TB,DST,1,DAL,2,1,7,1,0,0,0,0,29,2,2
407,Los Angeles Chargers,LAC,DST,1,WAS,4,1,7,0,0,0,0,0,16,2,2
407,Buffalo Bills,BUF,DST,1,PIT,5,2,6,0,0,0,0,0,23,2,2
407,Pittsburgh Steelers,PIT,DST,3,CIN,2,0,0,1,0,0,0,0,24,2,2
407,New York Giants,NYG,DST,4,NO,1,0,0,1,0,0,0,0,21,2,2
407,New Orleans Saints,NO,DST,4,NYG,2,0,6,1,0,0,0,0,27,2,2
407,Kansas City Chiefs,KC,DST,4,PHI,3,3,6,0,0,0,0,0,30,2,2
407,San Francisco 49ers,SF,DST,4,SEA,6,3,6,0,0,0,0,0,28,2,2
407,New England Patriots,NE,DST,4,TB,3,1,3,0,0,0,0,0,19,2,2
407,Denver Broncos,DEN,DST,7,CLE,3,1,5,0,0,0,0,0,17,2,2
407,Carolina Panthers,CAR,DST,7,NYG,9,2,5,0,0,0,0,0,23,2,2
407,New York Giants,NYG,DST,6,LAR,2,2,4,2,0,0,0,0,38,2,2
407,New Orleans Saints,NO,DST,9,ATL,5,2,9,0,0,0,0,0,27,2,2
407,New York Jets,NYJ,DST,10,BUF,1,2,5,1,1,0,0,0,45,2,2
407,New Orleans Saints,NO,DST,10,TEN,5,2,6,0,0,0,0,0,23,2,2
407,Indianapolis Colts,IND,DST,12,TB,4,2,3,1,1,0,0,0,38,2,2
407,Los Angeles Rams,LAR,DST,12,GB,3,1,5,0,1,0,0,0,30,2,2
407,Houston Texans,HOU,DST,13,IND,5,1,3,0,1,0,0,0,31,2,2
407,Baltimore Ravens,BAL,DST,13,PIT,1,1,3,0,0,0,0,0,20,2,2
407,New York Jets,NYJ,DST,14,NO,8,3,3,0,0,0,0,0,30,2,2
407,Carolina Panthers,CAR,DST,14,ATL,4,0,7,0,1,0,0,0,23,2,2
407,Arizona Cardinals,ARI,DST,14,LAR,5,3,4,0,0,0,0,0,30,2,2
407,Chicago Bears,CHI,DST,16,SEA,3,2,7,0,0,0,0,0,24,2,2
407,New York Giants,NYG,DST,2,WAS,1,1,2,1,0,0,0,0,30,2,2
407,Pittsburgh Steelers,PIT,DST,2,LV,6,2,5,0,0,0,0,0,26,2,2
407,Tennessee Titans,TEN,DST,2,SEA,4,3,6,0,0,0,0,0,30,2,2
407,Jacksonville Jaguars,JAX,DST,15,HOU,2,1,3,1,0,0,0,0,30,2,2
407,Baltimore Ravens,BAL,DST,15,GB,3,3,4,0,0,0,0,0,31,2,2
407,Jacksonville Jaguars,JAX,DST,5,TEN,4,3,8,0,0,0,0,0,31,2,2
407,New York Giants,NYG,DST,5,DAL,3,2,5,1,1,0,0,0,38,2,2
407,Jacksonville Jaguars,JAX,DST,8,SEA,7,3,3,0,0,0,0,0,31,2,2
407,Dallas Cowboys,DAL,DST,8,MIN,6,1,9,0,0,0,0,0,16,2,2
407,New York Jets,NYJ,DST,11,MIA,3,0,2,1,0,0,0,0,24,2,2
407,Seattle Seahawks,SEA,DST,11,ARI,3,2,7,0,0,0,0,0,23,2,2
407,New York Giants,NYG,DST,11,TB,4,1,3,1,0,0,0,0,30,2,2
407,Tennessee Titans,TEN,DST,18,HOU,8,2,3,0,0,0,0,0,25,2,2
407,Washington Commanders,WAS,DST,17,PHI,4,1,3,0,0,0,0,0,20,2,2
407,New York Jets,NYJ,DST,17,TB,4,1,4,1,0,0,0,0,28,2,2
445,Detroit Lions,DET,DST,1,SF,1,1,3,0,2,0,0,0,35,1,1
445,Cleveland Browns,CLE,DST,1,KC,5,2,6,0,0,0,0,0,33,1,1
445,Jacksonville Jaguars,JAX,DST,4,CIN,2,1,3,0,0,0,0,0,24,1,1
445,Cincinnati Bengals,CIN,DST,4,JAX,2,1,0,0,0,0,0,0,21,1,1
445,Las Vegas Raiders,LV,DST,4,LAC,6,2,7,0,0,0,0,0,28,1,1
445,Philadelphia Eagles,PHI,DST,7,LV,3,0,2,1,0,0,0,0,33,1,1
445,Philadelphia Eagles,PHI,DST,6,TB,3,0,3,1,0,0,0,0,28,1,1
445,Houston Texans,HOU,DST,6,IND,4,2,5,0,0,0,0,0,31,1,1
445,Denver Broncos,DEN,DST,6,LV,1,2,3,0,0,0,0,0,34,1,1
445,Buffalo Bills,BUF,DST,6,TEN,3,0,3,1,0,0,0,0,34,1,1
445,Los Angeles Chargers,LAC,DST,9,PHI,1,1,2,0,0,0,0,0,24,1,1
445,San Francisco 49ers,SF,DST,9,ARI,5,2,5,0,0,0,0,0,31,1,1
445,Jacksonville Jaguars,JAX,DST,10,IND,4,1,8,0,0,0,0,0,23,1,1
445,Los Angeles Rams,LAR,DST,10,SF,8,1,1,0,0,0,0,0,25,1,1
445,New York Jets,NYJ,DST,13,PHI,3,2,3,0,0,0,0,0,33,1,1
445,Buffalo Bills,BUF,DST,14,TB,4,2,4,0,0,0,0,0,33,1,1
445,Philadelphia Eagles,PHI,DST,2,SF,2,0,2,0,0,0,0,0,17,1,1
445,Atlanta Falcons,ATL,DST,2,TB,2,3,6,0,1,0,0,0,36,1,1
445,Arizona Cardinals,ARI,DST,2,MIN,2,1,4,0,0,0,0,0,27,1,1
445,Atlanta Falcons,ATL,DST,15,SF,1,0,3,0,1,0,0,0,31,1,1
445,Las Vegas Raiders,LV,DST,15,CLE,3,0,4,0,0,0,0,0,14,1,1
445,Arizona Cardinals,ARI,DST,8,GB,2,1,4,0,0,0,0,0,24,1,1
445,Jacksonville Jaguars,JAX,DST,11,SF,5,2,4,0,0,0,0,0,30,1,1
445,Green Bay Packers,GB,DST,11,MIN,4,2,5,0,0,0,0,0,34,1,1
445,Minnesota Vikings,MIN,DST,11,GB,1,2,4,0,0,0,0,0,31,1,1
445,Denver Broncos,DEN,DST,18,KC,1,1,5,0,0,0,0,0,22,1,1
445,New England Patriots,NE,DST,18,MIA,3,1,1,0,0,0,0,0,21,1,1
445,Dallas Cowboys,DAL,DST,17,ARI,4,1,4,0,0,0,0,0,25,1,1
473,Atlanta Falcons,ATL,DST,1,PHI,5,1,1,0,0,0,0,0,32,0,0
473,Tennessee Titans,TEN,DST,1,ARI,2,2,3,1,0,0,0,0,38,0,0
473,Chicago Bears,CHI,DST,1,LAR,0,1,4,0,0,0,0,0,34,0,0
473,Kansas City Chiefs,KC,DST,3,LAC,5,1,6,0,0,0,0,0,30,0,0
473,Tampa Bay Buccaneers,TB,DST,3,LAR,2,1,4,0,0,0,0,0,34,0,0
473,Seattle Seahawks,SEA,DST,3,MIN,4,1,4,0,0,0,0,0,30,0,0
473,San Francisco 49ers,SF,DST,3,GB,3,1,2,0,0,0,0,0,30,0,0
473,Atlanta Falcons,ATL,DST,4,WAS,5,1,4,0,0,0,0,0,34,0,0
473,Detroit Lions,DET,DST,7,LAR,2,1,1,0,0,0,0,0,28,0,0
473,Philadelphia Eagles,PHI,DST,9,LAC,2,0,0,0,0,0,0,0,27,0,0
473,Las Vegas Raiders,LV,DST,12,DAL,2,1,5,0,0,0,0,0,33,0,0
473,Pittsburgh Steelers,PIT,DST,12,CIN,7,2,3,1,0,0,0,0,35,0,0
473,Chicago Bears,CHI,DST,13,ARI,6,1,1,0,0,0,0,0,33,0,0
473,Pittsburgh Steelers,PIT,DST,14,MIN,4,0,6,2,0,0,0,0,36,0,0
473,Cleveland Browns,CLE,DST,16,GB,3,0,4,0,0,0,0,0,24,0,0
473,New York Giants,NYG,DST,16,PHI,0,1,5,0,0,0,0,0,28,0,0
473,Green Bay Packers,GB,DST,15,BAL,3,1,2,0,0,0,0,0,30,0,0
473,Cleveland Browns,CLE,DST,5,LAC,3,2,9,0,1,0,0,0,47,0,0
473,Miami Dolphins,MIA,DST,8,BUF,5,0,5,0,0,0,0,0,26,0,0
473,Tampa Bay Buccaneers,TB,DST,8,NO,3,1,7,0,0,0,0,0,30,0,0
473,Tennessee Titans,TEN,DST,11,HOU,0,0,0,0,0,0,0,0,22,0,0
473,Pittsburgh Steelers,PIT,DST,11,LAC,2,2,5,1,0,0,0,0,41,0,0
473,Houston Texans,HOU,DST,18,TEN,5,1,7,0,0,0,0,0,28,0,0
473,Atlanta Falcons,ATL,DST,18,NO,5,1,0,0,0,0,0,0,30,0,0
473,New York Jets,NYJ,DST,18,BUF,4,0,5,0,0,0,0,0,27,0,0
473,Miami Dolphins,MIA,DST,17,TEN,6,1,2,0,0,0,0,0,34,0,0
499,Houston Texans,HOU,DST,4,BUF,3,1,4,1,0,0,0,0,40,-1,-1
499,Philadelphia Eagles,PHI,DST,4,KC,1,1,4,1,0,0,0,0,42,-1,-1
499,Los Angeles Rams,LAR,DST,4,ARI,7,3,2,0,0,0,0,0,37,-1,-1
499,Baltimore Ravens,BAL,DST,7,CIN,4,1,7,1,0,0,0,0,41,-1,-1
499,Baltimore Ravens,BAL,DST,9,MIN,5,0,6,0,0,0,0,0,31,-1,-1
499,Houston Texans,HOU,DST,14,SEA,4,0,2,0,0,0,0,0,33,-1,-1
499,Las Vegas Raiders,LV,DST,14,KC,5,3,4,0,0,0,0,0,42,-1,-1
499,Baltimore Ravens,BAL,DST,16,CIN,4,3,6,0,0,0,0,0,41,-1,-1
499,New England Patriots,NE,DST,16,BUF,1,0,4,0,0,0,0,0,33,-1,-1
499,Carolina Panthers,CAR,DST,16,TB,6,0,2,0,0,0,0,0,32,-1,-1
499,Detroit Lions,DET,DST,2,GB,4,3,7,0,0,0,0,0,35,-1,-1
499,Kansas City Chiefs,KC,DST,5,BUF,3,0,1,0,0,0,0,0,32,-1,-1
499,Chicago Bears,CHI,DST,8,SF,4,0,0,0,0,0,0,0,33,-1,-1
499,Los Angeles Chargers,LAC,DST,11,PIT,3,3,6,0,0,0,0,0,37,-1,-1
499,Los Angeles Chargers,LAC,DST,18,LV,8,3,6,0,0,0,0,0,35,-1,-1
499,Cincinnati Bengals,CIN,DST,17,KC,1,0,4,0,0,0,0,0,31,-1,-1
499,Denver Broncos,DEN,DST,17,LAC,4,0,3,0,0,0,0,0,34,-1,-1
516,Chicago Bears,CHI,DST,7,TB,3,0,1,0,1,0,0,0,38,-2,-2
516,Cleveland Browns,CLE,DST,6,ARI,5,2,3,0,0,0,0,0,37,-2,-2
516,Cincinnati Bengals,CIN,DST,9,CLE,7,2,5,0,0,0,0,0,35,-2,-2
516,Atlanta Falcons,ATL,DST,10,DAL,2,0,2,0,1,0,0,0,43,-2,-2
516,Cleveland Browns,CLE,DST,10,NE,5,2,2,0,0,0,0,0,45,-2,-2
516,Las Vegas Raiders,LV,DST,10,KC,2,0,3,0,1,0,0,0,41,-2,-2
516,Tennessee Titans,TEN,DST,12,NE,3,2,7,0,0,0,0,0,36,-2,-2
516,New York Giants,NYG,DST,14,LAC,4,2,6,0,0,0,0,0,37,-2,-2
516,Pittsburgh Steelers,PIT,DST,16,KC,3,2,3,0,0,0,0,0,36,-2,-2
516,Miami Dolphins,MIA,DST,5,TB,4,2,6,0,0,0,0,0,45,-2,-2
526,Jacksonville Jaguars,JAX,DST,1,HOU,3,1,6,0,0,0,0,0,37,-3,-3
526,New York Jets,NYJ,DST,7,NE,5,1,4,0,0,0,0,0,54,-3,-3
526,New York Jets,NYJ,DST,9,IND,0,1,3,0,0,0,0,0,45,-3,-3
526,Jacksonville Jaguars,JAX,DST,13,LAR,2,1,2,0,0,0,0,0,37,-3,-3
526,Detroit Lions,DET,DST,14,DEN,4,1,4,0,0,0,0,0,38,-3,-3
526,Los Angeles Chargers,LAC,DST,16,HOU,4,1,2,0,0,0,0,0,35,-3,-3
526,Los Angeles Chargers,LAC,DST,5,CLE,3,1,1,0,0,0,0,0,42,-3,-3
526,Houston Texans,HOU,DST,8,LAR,2,1,2,0,0,0,0,0,38,-3,-3
526,Philadelphia Eagles,PHI,DST,18,DAL,4,1,2,0,0,0,0,0,51,-3,-3
526,Green Bay Packers,GB,DST,18,DET,3,1,4,0,0,0,0,0,37,-3,-3
526,Carolina Panthers,CAR,DST,18,TB,2,1,2,0,0,0,0,0,41,-3,-3
526,Detroit Lions,DET,DST,17,SEA,4,1,3,0,0,0,0,0,51,-3,-3
538,Green Bay Packers,GB,DST,1,NO,0,0,3,0,0,0,0,0,38,-4,-4
538,Washington Commanders,WAS,DST,3,BUF,2,0,7,0,0,0,0,0,43,-4,-4
538,Carolina Panthers,CAR,DST,4,DAL,0,0,1,0,0,0,0,0,36,-4,-4
538,Detroit Lions,DET,DST,8,PHI,3,0,0,0,0,0,0,0,38,-4,-4
538,Buffalo Bills,BUF,DST,11,IND,3,0,2,0,0,0,0,0,41,-4,-4
538,Jacksonville Jaguars,JAX,DST,17,NE,1,0,0,0,0,0,0,0,50,-4,-4
538,Minnesota Vikings,MIN,DST,17,GB,2,0,3,0,0,0,0,0,37,-4,-4
